model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,93.1,0.0,-39.05,0.97,0.09,348
dqn,TRAIN,1,89.9,0.0,-37.23,0.92,0.09,344
dqn,TRAIN,2,93.0,3.2,-38.40,0.97,0.09,347
dqn,TRAIN,3,74.9,2.6,-13.15,0.42,0.04,352
dqn,TRAIN,4,71.5,2.3,-10.61,0.33,0.04,352
dqn,TRAIN,5,69.8,2.1,-9.55,0.29,0.03,352
dqn,TRAIN,6,72.1,1.9,-10.59,0.33,0.04,353
dqn,TRAIN,7,70.0,1.7,-10.05,0.31,0.03,353
dqn,TRAIN,8,69.6,1.6,-9.40,0.28,0.03,355
dqn,TRAIN,9,69.8,1.5,-9.06,0.27,0.03,353
dqn,TRAIN,10,70.4,1.5,-10.57,0.32,0.03,352
dqn,TRAIN,11,69.3,1.4,-9.41,0.28,0.03,354
dqn,TRAIN,12,69.5,1.4,-9.33,0.28,0.03,352
dqn,TRAIN,13,70.3,1.3,-9.71,0.30,0.03,353
dqn,TRAIN,14,69.5,1.3,-9.30,0.28,0.03,354
dqn,TRAIN,15,68.9,1.2,-10.25,0.29,0.03,351
dqn,TRAIN,16,69.3,1.1,-9.47,0.28,0.03,354
dqn,TRAIN,17,69.9,1.0,-9.72,0.29,0.03,354
dqn,TRAIN,18,68.6,0.9,-9.46,0.26,0.03,352
dqn,TRAIN,19,69.4,1.0,-10.16,0.29,0.03,355
