model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,97.5,0.0,-41.03,1.02,0.10,333
dqn,TRAIN,1,97.7,0.0,-39.42,1.00,0.10,341
dqn,TRAIN,2,95.0,3.2,-35.03,0.89,0.10,347
dqn,TRAIN,3,84.2,2.6,-15.37,0.50,0.07,346
dqn,TRAIN,4,79.8,2.5,-13.09,0.41,0.06,348
dqn,TRAIN,5,77.5,2.3,-12.05,0.37,0.06,347
dqn,TRAIN,6,77.9,2.1,-12.16,0.37,0.06,346
dqn,TRAIN,7,78.5,2.0,-12.25,0.38,0.06,349
dqn,TRAIN,8,77.7,1.9,-11.67,0.36,0.06,347
dqn,TRAIN,9,78.1,1.8,-12.05,0.36,0.06,352
dqn,TRAIN,10,77.5,1.8,-10.92,0.33,0.05,345
dqn,TRAIN,11,78.7,1.7,-12.63,0.39,0.06,349
dqn,TRAIN,12,77.3,1.7,-11.24,0.34,0.06,348
dqn,TRAIN,13,77.4,1.6,-11.18,0.34,0.05,350
dqn,TRAIN,14,77.7,1.5,-12.46,0.37,0.06,349
dqn,TRAIN,15,77.6,1.5,-10.35,0.32,0.06,351
dqn,TRAIN,16,75.6,1.4,-10.48,0.31,0.05,349
dqn,TRAIN,17,76.5,1.3,-11.69,0.33,0.05,351
dqn,TRAIN,18,75.4,1.3,-10.15,0.30,0.05,352
dqn,TRAIN,19,76.0,1.2,-10.92,0.31,0.05,350
