model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,173.4,0.0,-113.41,2.67,0.23,396
dqn,TRAIN,1,166.6,0.0,-111.81,2.63,0.23,397
dqn,TRAIN,2,160.2,9.6,-93.12,2.24,0.22,420
dqn,TRAIN,3,122.2,12.3,-35.57,1.11,0.17,427
dqn,TRAIN,4,120.2,13.6,-32.80,1.02,0.17,429
dqn,TRAIN,5,114.2,12.9,-30.36,0.95,0.16,423
dqn,TRAIN,6,113.9,12.0,-28.05,0.83,0.15,440
dqn,TRAIN,7,117.4,11.0,-30.15,0.93,0.16,433
dqn,TRAIN,8,113.7,10.6,-29.07,0.85,0.15,435
dqn,TRAIN,9,110.4,10.4,-26.12,0.78,0.14,442
dqn,TRAIN,10,114.6,10.0,-30.50,0.89,0.16,432
dqn,TRAIN,11,119.6,9.9,-31.94,0.94,0.17,430
dqn,TRAIN,12,114.2,9.9,-28.17,0.82,0.15,438
dqn,TRAIN,13,113.4,9.7,-28.06,0.81,0.15,438
dqn,TRAIN,14,110.8,9.2,-26.68,0.78,0.15,431
dqn,TRAIN,15,113.9,8.5,-29.32,0.84,0.15,438
dqn,TRAIN,16,116.6,7.9,-29.97,0.86,0.16,432
dqn,TRAIN,17,111.8,7.5,-27.93,0.81,0.15,434
dqn,TRAIN,18,117.7,7.2,-30.04,0.88,0.16,436
dqn,TRAIN,19,114.6,7.4,-31.67,0.94,0.15,431
