model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,73.8,1.5,-14.05,0.39,0.04,4937
dqn,TRAIN,1,68.3,0.9,-8.57,0.24,0.03,4938
dqn,TRAIN,2,68.7,0.8,-8.85,0.25,0.03,4938
dqn,TRAIN,3,68.2,0.8,-8.33,0.23,0.03,4937
dqn,TRAIN,4,70.0,0.8,-10.01,0.27,0.03,4939
dqn,TRAIN,5,68.6,0.9,-8.67,0.24,0.03,4939
dqn,TRAIN,6,68.4,0.8,-8.15,0.23,0.03,4938
dqn,TRAIN,7,68.1,0.8,-8.31,0.23,0.03,4935
dqn,TRAIN,8,68.5,0.9,-8.55,0.24,0.03,4940
dqn,TRAIN,9,68.3,0.8,-8.24,0.23,0.03,4939
dqn,TRAIN,10,68.3,0.8,-8.29,0.23,0.03,4939
dqn,TRAIN,11,68.4,0.8,-8.49,0.24,0.03,4935
dqn,TRAIN,12,68.2,0.8,-8.24,0.23,0.03,4937
dqn,TRAIN,13,68.3,0.8,-8.35,0.23,0.03,4937
dqn,TRAIN,14,68.3,0.9,-8.30,0.23,0.03,4939
dqn,TRAIN,15,68.4,0.8,-8.21,0.23,0.03,4939
dqn,TRAIN,16,68.2,0.8,-8.15,0.23,0.03,4938
dqn,TRAIN,17,68.2,0.8,-8.01,0.23,0.03,4938
dqn,TRAIN,18,68.4,0.8,-8.42,0.24,0.03,4939
dqn,TRAIN,19,68.4,0.9,-8.32,0.24,0.03,4937
