model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,173.2,0.0,-48.46,1.27,0.25,309
dqn,TRAIN,1,180.1,0.0,-52.51,1.34,0.25,310
dqn,TRAIN,2,179.8,3.6,-51.82,1.34,0.24,314
dqn,TRAIN,3,142.8,4.2,-21.18,0.70,0.18,326
dqn,TRAIN,4,142.5,4.5,-20.84,0.66,0.18,330
dqn,TRAIN,5,136.2,4.4,-17.72,0.54,0.17,330
dqn,TRAIN,6,138.8,4.1,-18.92,0.59,0.18,322
dqn,TRAIN,7,136.4,3.9,-17.06,0.52,0.17,324
dqn,TRAIN,8,137.5,3.7,-17.49,0.55,0.18,324
dqn,TRAIN,9,136.6,3.6,-19.01,0.57,0.18,326
dqn,TRAIN,10,135.4,3.5,-18.70,0.55,0.17,332
dqn,TRAIN,11,132.7,3.4,-14.62,0.44,0.18,326
dqn,TRAIN,12,133.1,3.4,-16.74,0.48,0.17,326
dqn,TRAIN,13,130.8,3.3,-15.77,0.47,0.17,325
dqn,TRAIN,14,135.1,3.2,-17.03,0.52,0.18,327
dqn,TRAIN,15,134.1,3.1,-16.00,0.48,0.17,329
dqn,TRAIN,16,132.8,2.8,-16.90,0.51,0.17,327
dqn,TRAIN,17,133.5,2.6,-17.95,0.51,0.18,328
dqn,TRAIN,18,132.8,2.4,-16.36,0.47,0.18,331
dqn,TRAIN,19,133.6,2.4,-16.07,0.46,0.18,323
