model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,87.9,0.0,-31.80,0.82,0.09,344
dqn,TRAIN,1,96.9,0.0,-40.82,1.03,0.10,342
dqn,TRAIN,2,90.2,2.6,-33.59,0.86,0.09,346
dqn,TRAIN,3,75.3,2.1,-12.55,0.41,0.05,349
dqn,TRAIN,4,70.9,1.9,-9.31,0.29,0.04,349
dqn,TRAIN,5,70.7,1.7,-9.35,0.28,0.04,348
dqn,TRAIN,6,68.8,1.5,-8.27,0.25,0.03,350
dqn,TRAIN,7,69.3,1.4,-8.36,0.25,0.03,351
dqn,TRAIN,8,68.9,1.4,-7.94,0.24,0.03,349
dqn,TRAIN,9,69.2,1.3,-9.31,0.26,0.03,352
dqn,TRAIN,10,69.7,1.3,-9.16,0.27,0.03,349
dqn,TRAIN,11,68.3,1.3,-8.38,0.25,0.03,353
dqn,TRAIN,12,71.8,1.3,-10.85,0.34,0.04,348
dqn,TRAIN,13,69.2,1.3,-8.95,0.27,0.03,350
dqn,TRAIN,14,69.1,1.2,-8.80,0.26,0.03,349
dqn,TRAIN,15,69.4,1.1,-9.03,0.26,0.03,350
dqn,TRAIN,16,68.5,1.1,-7.54,0.23,0.03,350
dqn,TRAIN,17,68.5,0.9,-8.28,0.24,0.03,349
dqn,TRAIN,18,68.8,0.9,-8.47,0.24,0.03,349
dqn,TRAIN,19,69.4,0.9,-8.98,0.27,0.03,352
