model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,144.2,0.0,-55.25,1.36,0.18,319
dqn,TRAIN,1,134.2,0.0,-53.55,1.33,0.16,317
dqn,TRAIN,2,129.1,4.1,-42.33,1.05,0.16,330
dqn,TRAIN,3,109.7,4.2,-20.17,0.63,0.12,333
dqn,TRAIN,4,107.9,4.4,-16.10,0.50,0.12,336
dqn,TRAIN,5,106.6,4.1,-14.80,0.45,0.11,333
dqn,TRAIN,6,104.3,3.6,-15.73,0.46,0.11,338
dqn,TRAIN,7,102.7,3.5,-15.74,0.48,0.11,332
dqn,TRAIN,8,104.8,3.3,-15.21,0.46,0.11,334
dqn,TRAIN,9,102.7,3.1,-15.17,0.46,0.11,333
dqn,TRAIN,10,102.5,3.0,-15.66,0.47,0.11,330
dqn,TRAIN,11,101.4,3.0,-15.80,0.46,0.11,329
dqn,TRAIN,12,105.8,3.0,-14.39,0.41,0.12,332
dqn,TRAIN,13,104.4,2.9,-14.77,0.44,0.11,341
dqn,TRAIN,14,99.5,2.8,-14.48,0.43,0.10,334
dqn,TRAIN,15,100.6,2.6,-13.87,0.40,0.11,339
dqn,TRAIN,16,106.0,2.4,-16.90,0.49,0.11,340
dqn,TRAIN,17,99.1,2.3,-12.00,0.34,0.10,340
dqn,TRAIN,18,105.2,2.2,-16.00,0.44,0.11,338
dqn,TRAIN,19,98.4,2.3,-14.34,0.40,0.10,339
