model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,137.9,0.0,-48.56,1.20,0.18,319
dqn,TRAIN,1,143.0,0.0,-50.93,1.26,0.19,316
dqn,TRAIN,2,135.8,4.0,-46.48,1.17,0.16,328
dqn,TRAIN,3,116.5,4.2,-20.40,0.67,0.14,333
dqn,TRAIN,4,112.0,4.1,-16.00,0.51,0.13,327
dqn,TRAIN,5,103.6,3.9,-16.55,0.49,0.12,330
dqn,TRAIN,6,106.4,3.6,-15.11,0.46,0.12,326
dqn,TRAIN,7,107.8,3.4,-17.43,0.53,0.12,331
dqn,TRAIN,8,108.2,3.3,-15.75,0.48,0.12,334
dqn,TRAIN,9,110.0,3.1,-17.13,0.51,0.12,335
dqn,TRAIN,10,108.7,3.1,-17.09,0.52,0.12,338
dqn,TRAIN,11,107.5,2.9,-15.55,0.46,0.12,331
dqn,TRAIN,12,108.9,2.9,-16.25,0.48,0.12,334
dqn,TRAIN,13,104.9,2.9,-15.96,0.47,0.12,336
dqn,TRAIN,14,106.5,2.8,-14.94,0.43,0.12,333
dqn,TRAIN,15,105.2,2.8,-16.48,0.48,0.12,330
dqn,TRAIN,16,103.7,2.5,-13.68,0.39,0.12,333
dqn,TRAIN,17,106.0,2.2,-15.68,0.46,0.12,332
dqn,TRAIN,18,105.1,2.2,-15.77,0.45,0.12,335
dqn,TRAIN,19,106.2,2.1,-16.43,0.45,0.12,330
