model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,178.0,0.0,-57.68,1.42,0.24,300
dqn,TRAIN,1,176.6,0.0,-53.45,1.33,0.24,304
dqn,TRAIN,2,180.1,4.5,-52.12,1.31,0.24,305
dqn,TRAIN,3,142.2,4.9,-24.78,0.77,0.19,314
dqn,TRAIN,4,139.2,5.1,-22.76,0.72,0.18,306
dqn,TRAIN,5,142.6,4.9,-22.79,0.70,0.19,318
dqn,TRAIN,6,138.7,4.8,-20.19,0.60,0.18,319
dqn,TRAIN,7,137.6,4.6,-20.68,0.60,0.18,320
dqn,TRAIN,8,133.2,4.4,-16.32,0.49,0.17,324
dqn,TRAIN,9,136.4,4.0,-17.73,0.54,0.18,320
dqn,TRAIN,10,137.2,3.8,-18.69,0.55,0.18,322
dqn,TRAIN,11,135.6,3.6,-19.20,0.56,0.18,320
dqn,TRAIN,12,133.5,3.4,-17.16,0.50,0.18,323
dqn,TRAIN,13,135.7,3.4,-18.76,0.54,0.18,319
dqn,TRAIN,14,131.6,3.3,-16.27,0.47,0.17,322
dqn,TRAIN,15,135.7,3.0,-19.12,0.57,0.18,320
dqn,TRAIN,16,133.4,2.8,-16.64,0.50,0.17,323
dqn,TRAIN,17,133.1,2.5,-16.67,0.48,0.17,319
dqn,TRAIN,18,136.1,2.3,-17.08,0.51,0.18,320
dqn,TRAIN,19,135.6,2.2,-19.20,0.54,0.18,318
