model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,112.1,2.6,-20.26,0.57,0.13,4921
dqn,TRAIN,1,105.1,2.0,-14.04,0.41,0.11,4922
dqn,TRAIN,2,104.0,2.0,-13.79,0.40,0.11,4919
dqn,TRAIN,3,103.6,1.9,-13.33,0.38,0.11,4922
dqn,TRAIN,4,104.7,1.9,-13.79,0.40,0.11,4917
dqn,TRAIN,5,105.8,1.9,-14.57,0.42,0.11,4916
dqn,TRAIN,6,104.9,1.9,-14.08,0.41,0.11,4916
dqn,TRAIN,7,103.8,1.9,-14.32,0.41,0.11,4912
dqn,TRAIN,8,104.8,1.9,-13.86,0.40,0.11,4923
dqn,TRAIN,9,104.5,1.8,-14.10,0.41,0.11,4918
dqn,TRAIN,10,105.6,2.1,-14.35,0.42,0.11,4920
dqn,TRAIN,11,103.8,1.9,-13.88,0.40,0.11,4917
dqn,TRAIN,12,106.7,2.1,-15.29,0.45,0.11,4914
dqn,TRAIN,13,105.4,2.0,-14.39,0.41,0.11,4917
dqn,TRAIN,14,105.1,1.9,-13.74,0.39,0.11,4909
dqn,TRAIN,15,104.3,1.8,-13.57,0.38,0.11,4918
dqn,TRAIN,16,103.1,1.7,-13.13,0.38,0.10,4922
dqn,TRAIN,17,104.5,1.7,-13.77,0.39,0.11,4925
dqn,TRAIN,18,104.4,1.8,-13.79,0.40,0.11,4919
dqn,TRAIN,19,103.9,1.7,-13.58,0.39,0.11,4921
