model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,90,132.6,1.9,-16.58,0.48,0.17,331
dqn,TRAIN,91,132.2,2.0,-17.65,0.52,0.17,330
dqn,TRAIN,92,132.0,2.0,-14.95,0.43,0.17,330
dqn,TRAIN,93,130.4,1.9,-16.84,0.48,0.17,328
dqn,TRAIN,94,130.4,2.0,-14.84,0.43,0.17,331
dqn,TRAIN,95,131.3,2.0,-13.99,0.42,0.17,328
dqn,TRAIN,96,133.1,2.0,-17.22,0.49,0.17,333
dqn,TRAIN,97,129.3,2.1,-15.13,0.44,0.17,331
dqn,TRAIN,98,131.0,2.1,-15.75,0.45,0.17,332
dqn,TRAIN,99,133.4,2.2,-17.18,0.50,0.17,332
dqn,TRAIN,100,132.4,2.2,-18.10,0.51,0.18,325
dqn,TRAIN,101,133.0,2.2,-15.72,0.44,0.18,332
dqn,TRAIN,102,130.5,2.1,-14.62,0.44,0.18,325
dqn,TRAIN,103,130.7,2.2,-15.73,0.47,0.17,328
dqn,TRAIN,104,130.0,2.1,-14.14,0.40,0.17,332
dqn,TRAIN,105,130.1,2.1,-15.06,0.43,0.17,328
dqn,TRAIN,106,135.9,2.0,-19.26,0.54,0.18,328
dqn,TRAIN,107,129.1,2.0,-13.62,0.41,0.17,329
dqn,TRAIN,108,130.5,2.1,-14.99,0.43,0.17,326
dqn,TRAIN,109,131.5,2.1,-17.11,0.50,0.18,328
dqn,TRAIN,110,135.6,2.0,-16.53,0.48,0.18,326
dqn,TRAIN,111,134.7,2.0,-15.58,0.46,0.18,334
dqn,TRAIN,112,131.0,2.0,-15.46,0.46,0.17,330
dqn,TRAIN,113,133.1,2.0,-18.29,0.51,0.18,331
dqn,TRAIN,114,131.0,1.9,-14.63,0.43,0.17,331
dqn,TRAIN,115,127.1,1.9,-13.28,0.38,0.17,327
dqn,TRAIN,116,133.6,1.9,-16.54,0.47,0.17,329
dqn,TRAIN,117,130.1,1.9,-15.78,0.45,0.17,330
dqn,TRAIN,118,129.4,1.9,-14.97,0.43,0.17,329
dqn,TRAIN,119,130.5,2.0,-15.15,0.43,0.17,332
dqn,TRAIN,120,135.1,1.9,-18.09,0.53,0.18,330
dqn,TRAIN,121,131.9,1.9,-14.88,0.43,0.18,327
dqn,TRAIN,122,129.3,1.9,-16.60,0.47,0.17,328
dqn,TRAIN,123,133.6,1.9,-16.62,0.47,0.18,328
dqn,TRAIN,124,130.9,1.9,-16.73,0.47,0.17,329
dqn,TRAIN,125,129.4,2.0,-15.62,0.43,0.17,326
dqn,TRAIN,126,126.4,1.9,-14.49,0.40,0.16,329
dqn,TRAIN,127,132.6,2.0,-16.81,0.47,0.17,328
dqn,TRAIN,128,133.0,1.9,-18.62,0.52,0.18,328
dqn,TRAIN,129,132.3,2.0,-19.85,0.56,0.18,324
