model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,205.5,0.0,-117.94,2.77,0.30,357
dqn,TRAIN,1,207.6,0.0,-126.96,2.97,0.30,351
dqn,TRAIN,2,212.1,11.3,-106.09,2.60,0.30,384
dqn,TRAIN,3,158.8,15.0,-43.23,1.33,0.25,408
dqn,TRAIN,4,152.8,17.0,-39.53,1.21,0.24,407
dqn,TRAIN,5,164.1,16.1,-46.04,1.43,0.26,410
dqn,TRAIN,6,153.0,15.5,-40.06,1.17,0.25,412
dqn,TRAIN,7,157.1,15.3,-39.97,1.21,0.24,410
dqn,TRAIN,8,152.1,14.5,-37.52,1.13,0.24,411
dqn,TRAIN,9,149.7,14.0,-35.78,1.05,0.24,413
dqn,TRAIN,10,154.2,13.4,-39.10,1.16,0.24,408
dqn,TRAIN,11,150.8,13.0,-36.98,1.09,0.24,416
dqn,TRAIN,12,149.5,12.8,-37.82,1.12,0.23,405
dqn,TRAIN,13,150.2,12.2,-35.71,1.07,0.24,409
dqn,TRAIN,14,147.6,11.6,-35.42,1.01,0.23,420
dqn,TRAIN,15,150.3,11.2,-38.99,1.14,0.24,416
dqn,TRAIN,16,151.0,10.0,-38.13,1.12,0.24,405
dqn,TRAIN,17,146.8,9.3,-35.75,1.03,0.24,405
dqn,TRAIN,18,144.0,9.1,-33.68,0.95,0.23,405
dqn,TRAIN,19,149.9,8.8,-36.92,1.06,0.24,410
