model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,172.8,0.0,-56.27,1.39,0.24,302
dqn,TRAIN,1,183.5,0.0,-68.43,1.65,0.24,283
dqn,TRAIN,2,172.0,5.0,-49.33,1.23,0.23,313
dqn,TRAIN,3,141.0,5.6,-23.74,0.71,0.19,318
dqn,TRAIN,4,137.1,5.9,-21.75,0.65,0.17,314
dqn,TRAIN,5,136.5,5.7,-21.91,0.63,0.18,315
dqn,TRAIN,6,141.3,5.3,-22.02,0.65,0.18,320
dqn,TRAIN,7,138.0,5.1,-19.92,0.60,0.18,320
dqn,TRAIN,8,138.0,4.8,-24.69,0.75,0.19,313
dqn,TRAIN,9,134.1,4.5,-19.16,0.56,0.18,317
dqn,TRAIN,10,134.7,4.4,-20.17,0.58,0.18,319
dqn,TRAIN,11,135.4,4.3,-20.02,0.57,0.18,317
dqn,TRAIN,12,134.5,4.0,-18.76,0.55,0.17,318
dqn,TRAIN,13,132.3,3.8,-18.26,0.53,0.17,318
dqn,TRAIN,14,134.7,3.7,-18.59,0.55,0.17,315
dqn,TRAIN,15,133.2,3.5,-19.31,0.55,0.17,321
dqn,TRAIN,16,132.8,3.2,-18.21,0.51,0.17,321
dqn,TRAIN,17,130.6,3.0,-16.70,0.46,0.17,321
dqn,TRAIN,18,134.3,2.9,-17.27,0.48,0.18,319
dqn,TRAIN,19,130.1,2.7,-14.68,0.41,0.17,321
